onset	duration	trial_type	nback-nontarget	response_time
27.5	0.6971430000000001	nback-nontarget	0.714286	0.0
35.0	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
40.0	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
42.5	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
50.0	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
52.5	0.6971430000000001	nback-nontarget	0.714286	0.0
57.5	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
65.0	0.6971430000000001	nback-nontarget	0.714286	0.0
67.5	0.6971430000000001	nback-nontarget	0.714286	0.0
72.5	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
75.0	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
80.0	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
95.0	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
100.0	0.6971430000000001	nback-nontarget	0.714286	0.0
102.5	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
107.5	0.6971430000000001	nback-nontarget	0.714286	0.0
115.0	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
117.5	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
122.5	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
130.0	0.6971430000000001	nback-nontarget	-0.28571399999999997	0.0
